Statute,Registration Time Years,Charge Type,Age Requirement
21-3517,15 Year,Sexual Battery,No
21-5505-a,15 Year,Sexual Battery,No
21-3507,15 Year,Adultery,Yes
21-5511,15 Year,Adultery,Yes
21-6420,15 Year,Sale of Sexual Relations,No
21-3515,15 Year,Patronizing a Prostitute,Yes
21-6421,15 Year,Patronizing a Prostitute,Yes
21-3508,15 Year,Lewd and Lascivious Behavior,Yes
21-5513,15 Year,Lewd and Lascivious Behavior,Yes
21-3439,15 Year,Capital Murder,No
21-5401,15 Year,Capital Murder,No
21-3401,15 Year,Murder First Degre,No
21-5402,15 Year,Murder First Degre,No
21-3402,15 Year,Murder Second Degree,No
21-5403,15 Year,Murder Second Degree,No
21-3403,15 Year,Voluntary Manslaughter,No
21-5404,15 Year,Voluntary Manslaughter,No
21-3404,15 Year,Involuntary Manslaughter,No
21-5405-a-1,15 Year,Involuntary Manslaughter,No
21-5405-a-2,15 Year,Involuntary Manslaughter,No
21-5405-a-4,15 Year,Involuntary Manslaughter,No
21-3424,15 Year,Criminal Restraint,Yes
21-5411,15 Year,Criminal Restraint,Yes
21-5515,15 Year,Sexual Extortion,Yes
21-6101-a-6,15 Year,Breach of Privacy,No
21-6101-a-7,15 Year,Breach of Privacy,No
21-6101-a-8,15 Year,Breach of Privacy,No
65-4159,15 Year,CDS Manufacture,No
21-5703,15 Year,CDS Manufacture,No
21-36a03,15 Year,CDS Manufacture,No
65-7006,15 Year,CDS Manufacture,No
21-36a09-a,15 Year,CDS Manufacture,No
21-5709-a,15 Year,CDS Manufacture,No
65-4161,15 Year,CDS Manufacture,No
21-36a05-a-1,15 Year,CDS Manufacture,No
21-5705-a-1,15 Year,CDS Manufacture,No
21-3505-a-1,25 Year,Sodomy,Yes
21-5504-a-1,25 Year,Sodomy,Yes
21-5504-a-2,25 Year,Sodomy,Yes
21-3510,25 Year,Solicitation of a Child,No
21-5508-a,25 Year,Solicitation of a Child,No
21-3523,25 Year,Electronic Solicitation,No
21-5509,25 Year,Electronic Solicitation,No
21-3603,25 Year,Aggravated Incest,No
21-5604-b,25 Year,Aggravated Incest,No
21-3503,25 Year,Indecent Liberties with a Child,No
21-5506-a,25 Year,Indecent Liberties with a Child,No
21-3520,25 Year,Unlawful Sexual Relations,No
21-5512,25 Year,Unlawful Sexual Relations,No
21-3516,25 Year,Sexual Exploitation of a Child,Yes
21-5510,25 Year,Sexual Exploitation of a Child,Yes
21-3518,25 Year,Aggravated Sexual Battery,No
21-5505-b,25 Year,Aggravated Sexual Battery,No
21-5514,25 Year,Interent Trading in Child Pornography,Yes
21-3513,25 Year,Promoting Prositution,Yes
21-6420,25 Year,Promoting Prositution,Yes
21-3301,25 Year,Criminal Solicitation,No
21-3302,25 Year,Criminal Solicitation,No
21-3303,25 Year,Criminal Solicitation,No
21-5301,25 Year,Criminal Solicitation,No
21-5302,25 Year,Criminal Solicitation,No
21-5303,25 Year,Criminal Solicitation,No
21-3502,Life,Rape,No
21-5503,Life,Rape,No
21-3511,Life,Aggravated Indecent Solication of a Child,No
21-5508-b,Life,Aggravated Indecent Solication of a Child,No
21-3504,Life,Aggravated Indecent Liberties of a Child,No
21-5506-b,Life,Criminal Sodomy,No
21-3505-a-2,Life,Criminal Sodomy,No
21-3505-a-3,Life,Criminal Sodomy,No
21-5504-a-3,Life,Criminal Sodomy,No
21-5504-a-4,Life,Criminal Sodomy,No
21-3506,Life,Aggravated Criminal Sodomy,No
21-5504-b,LIfe,Aggravated Criminal Sodomy,No
21-3447,Life,Aggravated Human Trafficking,No
21-5426-b,Life,Aggravated Human Trafficking,No
21-3516,Life,Sexual Exploitation of a Child,Yes
21-5510,Life,Sexual Exploitation of a Child,Yes
21-3513,Life,Promoting Prostitution,Yes
21-6420,Life,Promoting Prositution,Yes
21-3420,Life,Kidnapping,No
21-5408-a,Life,Kidnapping,No
21-3421,Life,Aggravated Kidnapping,No
21-5408-b,Life,Aggravated Kidnapping,No
21-5514,Life,Aggravated Internet Trading in Child Pornography,Yes
21-6422,Life,Commerical Sexual Exploitation of a Child,No
